designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 4472836047941691648,4472836047941691648,269.4401436142858,4.7816542730059295,1.425671479000589,-1.4350867267633673,6.847813185336552,1.0376229,17.599886,2.5216122,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3599.125,4.2824,-0.5706,625.4807,1.0911,0.7278,0.4372
Gaia DR3 4472836047941695488,4472836047941695488,269.43553159303747,4.782501435531035,0.05534829443512257,-1.0702963714982554,-6.002596451290675,0.93013555,19.768398,0.89533615,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836047941697408,4472836047941697408,269.4375966023341,4.782404694703631,0.11618860097756042,-2.77188695239167,-0.07227728533149144,1.0415137,17.048656,1.0548172,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4975.904,4.6953,-0.9486,1223.6178,0.0388,0.0312,0.0168
Gaia DR3 4472836047949068800,4472836047949068800,269.4426307033819,4.776256066080886,-0.12147801013503547,0.4646443097512763,-4.697271318676323,0.9733836,20.653442,1.132185,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836052237757824,4472836052237757824,269.43719458500465,4.781171859054155,-0.5254272865586358,-0.5092621575156295,-6.807315051844399,1.083314,20.128946,1.1112595,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836052237758464,4472836052237758464,269.43756885621417,4.784198124070807,1.6614197423967876,0.6138792961890016,-6.498452679701439,1.040994,20.257719,1.4361038,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836052237762688,4472836052237762688,269.4308934179046,4.7814251299366815,-0.4843256182823387,0.12335476274513278,-5.334879218563642,0.9757274,20.17622,1.1977768,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836052238416896,4472836052238416896,269.4389553498443,4.78760653891271,,,,,20.83982,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472835910502631040,4472835910502631040,269.4215689319638,4.759284702768692,0.7443836137772548,-1.9480902776943312,-0.2043713110606947,0.9220468,16.628183,1.1959057,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4908.9277,4.6387,-0.4419,987.5895,0.2767,0.2185,0.1163
Gaia DR3 4472835910502642432,4472835910502642432,269.42287450454984,4.76220724739806,-0.4323804378032715,-2.3982971634179857,-3.6287634841866065,1.0433412,19.464035,1.2404175,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
